,id,created_at,verified,username,text,location,listed_count,follower_count,retweet_count
3677,1226968600570888199,2020-02-10 20:38:05,False,petieg,"b'RT @ClydeHaberman: Reality seems under assault lately.\nRush Limbaugh has cancer? It\xe2\x80\x99s a shame, but it doesn\xe2\x80\x99t change that he has spewed hat\xe2\x80\xa6'",usa,1,139,14
3678,1226968597664337926,2020-02-10 20:38:04,False,Miley_fluff,b'RT @MJJJusticePrjct: No one is condemning #Gayle /#Oprah for going AFTER  Kobe but there is consternation when Snoop calls her out?  #hypoc\xe2\x80\xa6',Germany,63,4600,5
3679,1226968591251144705,2020-02-10 20:38:02,False,supergaycie,b'@Iam_DCPXii to make it seem more important than the others who we lost in 2019. Not to mention that Kobe passed in\xe2\x80\xa6 https://t.co/FZ9kdIIKur',"California, USA",0,99,0
3680,1226968590504677377,2020-02-10 20:38:02,False,Dalton__Cole,"b'RT @BleacherReport: 2 years ago, Kobe won the Oscar for his short film ""Dear Basketball\xe2\x80\x9d\n\nA legendary second act \xf0\x9f\x92\x9c\xf0\x9f\x92\x9b https://t.co/Gq9GrAfwrn'","Lancaster, CA",21,756,9811
3681,1226968585907712002,2020-02-10 20:38:01,False,9shotya,"b'RT @Girlthatsguwop: Kobe Bryant from da Lakers, Now Das Paper \xf0\x9f\x94\xa5\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd shot by no other \xf0\x9f\x93\xb8 @9shotya https://t.co/1ZXPgiehd7'",Utopia,4,968,2
3682,1226968583932125189,2020-02-10 20:38:01,False,birthdad,"b'@bluebirdblueboy Yeah I assumed at least Kobe but.... I don\xe2\x80\x99t know, just seems a lil \xf0\x9f\x91\x80'",,3,256,0
3683,1226968579859456000,2020-02-10 20:38:00,False,BoyWndr015,"b'RT @Prettyboyfredo: Everything negative, pressures &amp; challenges.....is all an opportunity for me to rise !  - Kobe Bryant'",,1,3,449
3684,1226968579532361729,2020-02-10 20:37:59,False,SalttBucket,"b""Lil' Wayne - Kobe Bryant  https://t.co/7kpVH23i6o""",Rancho Cucacompton,60,1646,1
3685,1226968575765876740,2020-02-10 20:37:59,False,coach_cwill,b'RT @timelesssports_: (2001) Kobe and Iverson jawing at each other during the Finals.\n\nUndeniable passion. \xe2\x99\xbe https://t.co/FzDM41OycM',United States,7,148,1227
3686,1226968571953152000,2020-02-10 20:37:58,True,FOXLA,"b'Vanessa Bryant poured her heart out Monday, saying she is struggling to cope with the deaths of her husband -- Lake\xe2\x80\xa6 https://t.co/ogXsH7TijG'","Los Angeles, CA",3269,243377,15
3687,1226968556992159746,2020-02-10 20:37:54,False,CsSoldi,b'RT @DrPatSoonShiong: Spike Lee honoring Kobe at Oscars. Thank you https://t.co/9piFYz1L2n',Nato il 30 settembre ,25,991,15
3688,1226968555637428231,2020-02-10 20:37:54,False,MaryStringini,"b'Vanessa Bryant poured her heart out Monday, saying she is struggling to cope with the deaths of her husband -- Lake\xe2\x80\xa6 https://t.co/NUqxU0ifs7'","Los Angeles, CA",12,428,0
