,username,type,to
3948,@_gliggady,RT,@timelesssports_
3949,@Santoscj_kings,RT,@IamKrisLondon
3950,@JDeleon99,RT,@tysonbeckdesign
3951,@sanomistan,RT,@LakersNation
3952,@banguza,RT,@thejendoctrine
3953,@Burki_boy,RT,@timelesssports_
3954,@jklapps21,Tweet,@jklapps21
3955,@lysaheart2,Tweet,@lysaheart2
3956,@JermaineJordan_,RT,@ComplexSports
3957,@Tiffany09231690,RT,@esoterically60
3958,@Skletch,RT,@Butterfly_424
3959,@missmavalous,RT,@1776_NOAH_711
3960,@Queen_Ash89,Tweet,@Queen_Ash89
3961,@JyGrier,RT,@CristalBarzz
3962,@vieux_mec,RT,@TerylLdh
3963,@stephenm046,RT,@enews
3964,@flrcld,RT,@SXMUrbanView
3965,@tesichyaann,RT,@AishiaDeal
3966,@elfarandi,Tweet,@elfarandi
3967,@Cunyirfurkan,RT,@nazmeliszengin
3968,@sweetma4life,Tweet,@sweetma4life
3969,@LegalHustleMan,RT,@timelesssports_
3970,@_shelovesblue,RT,@BleacherReport
3971,@nick_egnew,RT,@LegionHoops
3972,@SubtleBeast_901,RT,@common
3973,@airdnp_,Tweet,@airdnp_
3974,@Datmanisaiah,RT,@BleacherReport
3975,@zw9525,RT,@ShawnTheDon8
3976,@Kobe_ofori16,RT,@KB_7
3977,@thumbsup4richie,Tweet,@thumbsup4richie
3978,@T5Cropper,RT,@LakerFiles
3979,@_JustDezz,Tweet,@_JustDezz
3980,@RichartThom,RT,@jeffpearlman
3981,@LS_Lino98,RT,@SportsCenter
3982,@CheriLenell,Tweet,@CheriLenell
3983,@ddevintaa,RT,@cavs
3984,@marioromiakamd6,RT,@NBABrasil
3985,@FaceBoooked,Tweet,@FaceBoooked
3986,@Splixty,RT,@MambaCenter
3987,@CarltonWeather1,Tweet,@CarltonWeather1
3988,@forevertwenty19,RT,@SportsCenter
3989,@Kobe_ofori16,Tweet,@Kobe_ofori16
3990,@nick_egnew,RT,@Complex
3991,@thatonekidLalos,RT,@Mamba_Insider
3992,@MikeBeDhatSlida,RT,@osmelvergara
3993,@danvzla,Tweet,@danvzla
3994,@whoawmina,RT,@MrChuckD
3995,@soxbearpayton,Tweet,@soxbearpayton
3996,@_JT10n,RT,@espn
3997,@sweetnonnie,Tweet,@sweetnonnie
3998,@onvoitout,Tweet,@onvoitout
3999,@maarkodiaz,RT,@LakersNation
4000,@AtempaGiselle,RT,@SabrinaChangWo1
4001,@TNichelle2,Tweet,@TNichelle2
4002,@RogerStan123,Tweet,@RogerStan123
4003,@realhotdogstand,RT,@espn
4004,@Cameren_h,Tweet,@Cameren_h
4005,@measfbutch,RT,@enews
4006,@judyfin46870064,RT,@AmbitionisRare
4007,@facu_ibarra99,RT,@Mamba_Insider
4008,@laxaj_,RT,@LakeShowFamily
4009,@SunflowerSoul71,Tweet,@SunflowerSoul71
4010,@NATO_JENKINS,RT,@ESPNNBA
4011,@kobe___duque,Tweet,@kobe___duque
4012,@jassssmarie_,RT,@RodneyRikai
4013,@spaceca35314518,RT,@BleacherReport
4014,@iswerve_dat,Tweet,@iswerve_dat
4015,@j23gcalifornia,RT,@kobemurals
4016,@kobekarakaratei,Tweet,@kobekarakaratei
4017,@Michele14177918,RT,@enews
4018,@WerewolfAndros,RT,@kobemurals
4019,@GetTyleredUPP,RT,@ChargersLegion
4020,@BigD2222,RT,@espn
4021,@nay_girl3,RT,@Complex
4022,@Jeffreeze114,RT,@MrChuckD
4023,@leo_Kobe_,Tweet,@leo_Kobe_
4024,@gm2one,RT,@timelesssports_
4025,@scum_li,RT,@kobemurals
4026,@Miley_fluff,RT,@MJJJusticePrjct
4027,@sistadbarnes,RT,@common
